FAA-Stream,33397231,SCX285,06/22/2013 12:00:46 AM,-118.833333333333,47.7166666666667,272.578467510343,441,400,B737,SCX,KMSP,KSEA,JET,COMMERCIAL,ACTIVE,GA,"-118.833333333333,47.7166666666667,400.0"
FAA-Stream,45198483,DAL1587,06/21/2013 11:59:56 PM,-85.95,33.9333333333333,288.636455611084,450,289,MD90,DAL,KATL,KMCI,JET,COMMERCIAL,FILED,GA,"-85.95,33.9333333333333,289.0"
FAA-Stream,61213641,DAL1435,06/21/2013 11:59:50 PM,-74.6666666666667,40.5833333333333,233.027964086167,421,190,MD88,DAL,KLGA,KTPA,JET,COMMERCIAL,FILED,GA,"-74.6666666666667,40.5833333333333,190.0"
FAA-Stream,27260345,AAL2450,06/22/2013 12:00:46 AM,-97.2333333333333,33.0666666666667,128.507906444828,207,31,B752,AAL,KLAX,KDFW,JET,COMMERCIAL,ACTIVE,GA,"-97.2333333333333,33.0666666666667,31.0"
FAA-Stream,46479420,ASA66,06/21/2013 11:59:56 PM,-149.983333333333,61.2666666666667,50.2524007460471,220,60,B734,ASA,ANC,CDV,JET,COMMERCIAL,FILED,GA,"-149.983333333333,61.2666666666667,60.0"
FAA-Stream,28076697,SKW2685,06/22/2013 12:02:03 AM,-121.7,37.15,350.932806858481,268,59,N/A,SKW,N/A,N/A,N/A,N/A,N/A,N/A,"-121.7,37.15,59.0"
FAA-Stream,30753807,SWA999,06/22/2013 12:01:57 AM,-91.85,37.5333333333333,262.811940822072,446,380,B737,SWA,KBWI,KABQ,JET,COMMERCIAL,ACTIVE,GA,"-91.85,37.5333333333333,380.0"
FAA-Stream,48838648,UAL658,06/22/2013 12:00:43 AM,-104.983333333333,40.05,134.425159520452,292,140,XXXX,UAL,CYVR,KDEN,JET,COMMERCIAL,ACTIVE,GA,"-104.983333333333,40.05,140.0"
FAA-Stream,63575935,DAL835,06/22/2013 12:02:09 AM,-88.9833333333333,39.1666666666667,142.232894214699,456,310,A319,DAL,KATL,KBMI,JET,COMMERCIAL,ACTIVE,GA,"-88.9833333333333,39.1666666666667,310.0"
FAA-Stream,20581666,TAP104,06/22/2013 12:02:04 AM,-60.3,43.3333333333333,114.623532270469,530,370,A332,TAP,KEWR,LPPT,JET,COMMERCIAL,ACTIVE,GA,"-60.3,43.3333333333333,370.0"
FAA-Stream,43218046,AFR681,06/22/2013 12:01:39 AM,-70.15,41.1666666666667,59.4555680515722,500,350,N/A,AFR,KATL,LFPG,JET,COMMERCIAL,ACTIVE,GA,"-70.15,41.1666666666667,350.0"
FAA-Stream,39795516,UAL311,06/22/2013 12:02:15 AM,-88.2166666666667,41.95,26.3820251070502,249,50,A320,UAL,KFLL,KORD,JET,COMMERCIAL,ACTIVE,GA,"-88.2166666666667,41.95,50.0"
FAA-Stream,49516614,JZA152,06/22/2013 12:01:09 AM,-113.9,52.3,6.97944453399125,250,177,XXXX,JZA,CYYC,CYEG,TURBO,COMMERCIAL,ACTIVE,GA,"-113.9,52.3,177.0"
FAA-Stream,59042384,CPZ5792,06/22/2013 12:02:25 AM,-74.3166666666667,41.0833333333333,270.0,361,160,N/A,CPZ,N/A,N/A,N/A,N/A,N/A,N/A,"-74.3166666666667,41.0833333333333,160.0"
FAA-Stream,48622472,N8117K,06/22/2013 12:01:50 AM,-70.3,42.0666666666667,303.957667389024,87,28,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,"-70.3,42.0666666666667,28.0"
FAA-Stream,33116514,FDX721,06/22/2013 12:00:46 AM,-74.5666666666667,40.8833333333333,43.4034889340137,265,60,B77L,FDX,KMEM,KEWR,JET,CARGO,ACTIVE,GA,"-74.5666666666667,40.8833333333333,60.0"
FAA-Stream,18144229,ASH2768,06/22/2013 12:01:55 AM,-101.316666666667,30.8166666666667,113.599455051196,463,250,CRJ9,ASH,KPHX,SAT,JET,AIRTAXI,ACTIVE,GA,"-101.316666666667,30.8166666666667,250.0"
FAA-Stream,33655496,N6238J,06/22/2013 12:01:44 AM,-82.7333333333333,34.45,231.040495686058,79,30,P28R,N,PDK,PDK,PISTON,GENERALAVIATION,ACTIVE,GA,"-82.7333333333333,34.45,30.0"
FAA-Stream,18212438,N323DB,06/22/2013 12:02:22 AM,-89.9833333333333,37.9666666666667,211.734558767192,303,200,BE30,N,DEC,BVX,TURBO,GENERALAVIATION,ACTIVE,GA,"-89.9833333333333,37.9666666666667,200.0"
FAA-Stream,38144469,SKW4617,06/22/2013 12:00:06 AM,-105.1,39.75,280.524743114955,405,380,CRJ7,SKW,KMCI,KSLC,JET,COMMERCIAL,ACTIVE,GA,"-105.1,39.75,380.0"
